Week,Team,Score,Opponent,Result
1,Elaf,68,Zeus,Loss
1,Marco,97,Monaf,Loss
1,Doy,83,Jay,Win
1,Julio,96,Ivo,Win
1,Kenny,102,Gaybo,Win
1,ATL,104,Greg,Win
2,ATL,120,Zeus,Loss
2,Doy,101,Ivo,Win
2,Julio,79,Greg,Loss
2,Marco,58,Gaybo,Loss
2,Elaf,95,Monaf,Loss
2,Kenny,67,Jay,Loss
3,Jay,108,Marco,Win
3,Doy,89,Greg,Loss
3,Kenny,60,Ivo,Loss
3,Elaf,77,Gaybo,Win
3,Julio,64,Zeus,Loss
3,ATL,94,Monaf,Win
1,Zeus,119,Elaf,Win
1,Monaf,110,Marco,Win
1,Jay,77,Doy,Loss
1,Ivo,83,Julio,Loss
1,Gaybo,68,Kenny,Loss
1,Greg,98,ATL,Loss
2,Zeus,144,ATL,Win
2,Ivo,98,Doy,Loss
2,Greg,98,Julio,Win
2,Gaybo,78,Marco,Win
2,Monaf,122,Elaf,Win
2,Jay,111,Kenny,Win
3,Marco,74,Jay,Loss
3,Greg,129,Doy,Win
3,Ivo,97,Kenny,Win
3,Gaybo,75,Elaf,Loss
3,Zeus,139,Julio,Win
3,Monaf,76,ATL,Loss
